"Date and Time Run 5","Time (s) Run 5","Force (N) Run 5","Position (m) Run 5","Velocity (m/s) Run 5","Acceleration (m/s²) Run 5","Speed (m/s) Run 5","Date and Time Run 6","Time (s) Run 6","Force (N) Run 6","Position (m) Run 6","Velocity (m/s) Run 6","Acceleration (m/s²) Run 6","Speed (m/s) Run 6","Date and Time Run 7","Time (s) Run 7","Force (N) Run 7","Position (m) Run 7","Velocity (m/s) Run 7","Acceleration (m/s²) Run 7","Speed (m/s) Run 7","Date and Time Run 8","Time (s) Run 8","Force (N) Run 8","Position (m) Run 8","Velocity (m/s) Run 8","Acceleration (m/s²) Run 8","Speed (m/s) Run 8"
01/09/2024 11:12:56 am,0.000,-0.01,0.0000,,,,01/09/2024 11:14:59 am,0.000,0.22,0.0000,,,,01/09/2024 11:15:52 am,0.000,0.03,0.0000,,,,01/09/2024 11:20:42 am,0.000,0.10,0.0000,,,
01/09/2024 11:12:56 am,0.025,-0.01,-1.2126E-4,-0.002,,0.0024,01/09/2024 11:14:59 am,0.025,0.24,-7.2757E-4,-0.032,,0.0315,01/09/2024 11:15:52 am,0.025,0.02,-4.8505E-4,-0.022,,0.0218,01/09/2024 11:20:42 am,0.025,0.12,-6.0631E-4,-0.024,,0.0243
01/09/2024 11:12:56 am,0.050,-0.01,-1.2126E-4,-0.002,0.0,0.0016,01/09/2024 11:14:59 am,0.050,0.25,-0.0016,-0.033,0.0,0.0331,01/09/2024 11:15:52 am,0.050,0.04,-0.0011,-0.024,-0.1,0.0243,01/09/2024 11:20:42 am,0.050,0.15,-0.0012,-0.028,-0.2,0.0283
01/09/2024 11:12:56 am,0.075,0.00,-1.2126E-4,-0.002,0.0,0.0024,01/09/2024 11:14:59 am,0.075,0.26,-0.0024,-0.034,0.0,0.0340,01/09/2024 11:15:52 am,0.075,0.05,-0.0017,-0.027,-0.1,0.0267,01/09/2024 11:20:42 am,0.075,0.20,-0.0019,-0.034,-0.2,0.0340
01/09/2024 11:12:56 am,0.100,0.00,-2.4252E-4,-0.004,0.0,0.0040,01/09/2024 11:14:59 am,0.100,0.28,-0.0033,-0.034,0.0,0.0340,01/09/2024 11:15:52 am,0.100,0.06,-0.0024,-0.028,-0.1,0.0283,01/09/2024 11:20:42 am,0.100,0.24,-0.0029,-0.040,-0.2,0.0404
01/09/2024 11:12:56 am,0.125,0.00,-3.6379E-4,-0.004,-8.7E-18,0.0040,01/09/2024 11:14:59 am,0.125,0.30,-0.0041,-0.033,0.0,0.0331,01/09/2024 11:15:52 am,0.125,0.07,-0.0032,-0.030,-0.1,0.0299,01/09/2024 11:20:42 am,0.125,0.28,-0.0040,-0.046,-0.2,0.0461
01/09/2024 11:12:56 am,0.150,0.00,-4.8505E-4,-0.003,1.7E-17,0.0032,01/09/2024 11:14:59 am,0.150,0.31,-0.0050,-0.032,0.1,0.0315,01/09/2024 11:15:52 am,0.150,0.08,-0.0039,-0.032,-0.1,0.0323,01/09/2024 11:20:42 am,0.150,0.35,-0.0052,-0.049,-0.1,0.0493
01/09/2024 11:12:56 am,0.175,0.00,-4.8505E-4,-0.003,0.0,0.0032,01/09/2024 11:14:59 am,0.175,0.33,-0.0057,-0.030,0.0,0.0299,01/09/2024 11:15:52 am,0.175,0.10,-0.0047,-0.036,-0.1,0.0356,01/09/2024 11:20:42 am,0.175,0.41,-0.0065,-0.049,4.2E-16,0.0493
01/09/2024 11:12:56 am,0.200,0.00,-6.0631E-4,-0.005,-0.1,0.0049,01/09/2024 11:14:59 am,0.200,0.34,-0.0064,-0.029,0.0,0.0291,01/09/2024 11:15:52 am,0.200,0.11,-0.0057,-0.039,-0.1,0.0388,01/09/2024 11:20:42 am,0.200,0.48,-0.0078,-0.048,0.0,0.0477
01/09/2024 11:12:56 am,0.225,0.00,-7.2757E-4,-0.007,-0.1,0.0073,01/09/2024 11:14:59 am,0.225,0.35,-0.0072,-0.029,0.0,0.0291,01/09/2024 11:15:52 am,0.225,0.13,-0.0067,-0.040,0.0,0.0404,01/09/2024 11:20:42 am,0.225,0.53,-0.0089,-0.048,-0.1,0.0477
01/09/2024 11:12:56 am,0.250,0.01,-9.7010E-4,-0.010,-0.1,0.0097,01/09/2024 11:14:59 am,0.250,0.37,-0.0079,-0.030,0.0,0.0299,01/09/2024 11:15:52 am,0.250,0.15,-0.0078,-0.040,0.0,0.0396,01/09/2024 11:20:42 am,0.250,0.59,-0.0101,-0.052,-0.2,0.0517
01/09/2024 11:12:56 am,0.275,0.00,-0.0012,-0.012,-0.1,0.0121,01/09/2024 11:14:59 am,0.275,0.38,-0.0086,-0.032,0.0,0.0315,01/09/2024 11:15:52 am,0.275,0.17,-0.0087,-0.037,0.0,0.0372,01/09/2024 11:20:42 am,0.275,0.66,-0.0114,-0.059,-0.2,0.0590
01/09/2024 11:12:56 am,0.300,0.01,-0.0016,-0.015,-0.1,0.0154,01/09/2024 11:14:59 am,0.300,0.40,-0.0095,-0.032,-2.8E-16,0.0323,01/09/2024 11:15:52 am,0.300,0.19,-0.0096,-0.036,0.0,0.0356,01/09/2024 11:20:42 am,0.300,0.74,-0.0130,-0.066,-0.2,0.0663
01/09/2024 11:12:56 am,0.325,0.03,-0.0019,-0.019,-0.1,0.0194,01/09/2024 11:14:59 am,0.325,0.41,-0.0103,-0.032,0.0,0.0315,01/09/2024 11:15:52 am,0.325,0.20,-0.0104,-0.037,0.0,0.0372,01/09/2024 11:20:42 am,0.325,0.83,-0.0148,-0.070,-0.1,0.0703
01/09/2024 11:12:56 am,0.350,0.02,-0.0025,-0.023,-0.1,0.0226,01/09/2024 11:14:59 am,0.350,0.42,-0.0110,-0.030,0.0,0.0299,01/09/2024 11:15:52 am,0.350,0.22,-0.0114,-0.040,0.0,0.0396,01/09/2024 11:20:42 am,0.350,0.93,-0.0166,-0.070,0.0,0.0695
01/09/2024 11:12:56 am,0.375,0.03,-0.0032,-0.026,-0.1,0.0259,01/09/2024 11:14:59 am,0.375,0.44,-0.0118,-0.029,0.0,0.0291,01/09/2024 11:15:52 am,0.375,0.24,-0.0125,-0.040,0.0,0.0404,01/09/2024 11:20:42 am,0.375,1.00,-0.0183,-0.068,0.0,0.0679
01/09/2024 11:12:56 am,0.400,0.05,-0.0038,-0.028,-0.1,0.0283,01/09/2024 11:14:59 am,0.400,0.46,-0.0125,-0.030,-0.1,0.0299,01/09/2024 11:15:52 am,0.400,0.26,-0.0135,-0.040,-1.4E-16,0.0396,01/09/2024 11:20:42 am,0.400,1.09,-0.0199,-0.068,0.1,0.0679
01/09/2024 11:12:56 am,0.425,0.05,-0.0046,-0.031,-0.1,0.0307,01/09/2024 11:14:59 am,0.425,0.49,-0.0132,-0.032,-0.1,0.0323,01/09/2024 11:15:52 am,0.425,0.27,-0.0144,-0.040,0.0,0.0396,01/09/2024 11:20:42 am,0.425,1.17,-0.0217,-0.067,0.1,0.0671
01/09/2024 11:12:56 am,0.450,0.06,-0.0053,-0.032,0.0,0.0323,01/09/2024 11:14:59 am,0.450,0.50,-0.0141,-0.036,-0.1,0.0356,01/09/2024 11:15:52 am,0.450,0.29,-0.0154,-0.040,0.0,0.0404,01/09/2024 11:20:42 am,0.450,1.26,-0.0234,-0.062,0.2,0.0622
01/09/2024 11:12:56 am,0.475,0.07,-0.0062,-0.032,0.0,0.0323,01/09/2024 11:14:59 am,0.475,0.52,-0.0150,-0.037,-0.1,0.0372,01/09/2024 11:15:52 am,0.475,0.31,-0.0165,-0.041,0.0,0.0412,01/09/2024 11:20:42 am,0.475,1.33,-0.0249,-0.056,0.1,0.0558
01/09/2024 11:12:56 am,0.500,0.08,-0.0070,-0.032,0.0,0.0323,01/09/2024 11:14:59 am,0.500,0.53,-0.0160,-0.038,0.0,0.0380,01/09/2024 11:15:52 am,0.500,0.33,-0.0175,-0.042,0.0,0.0420,01/09/2024 11:20:42 am,0.500,1.41,-0.0261,-0.053,0.1,0.0534
01/09/2024 11:12:56 am,0.525,0.10,-0.0078,-0.032,0.0,0.0315,01/09/2024 11:14:59 am,0.525,0.56,-0.0169,-0.039,0.0,0.0388,01/09/2024 11:15:52 am,0.525,0.35,-0.0186,-0.043,-0.1,0.0428,01/09/2024 11:20:42 am,0.525,1.47,-0.0274,-0.054,0.1,0.0542
01/09/2024 11:12:56 am,0.550,0.11,-0.0086,-0.031,0.0,0.0307,01/09/2024 11:14:59 am,0.550,0.57,-0.0179,-0.040,-0.1,0.0404,01/09/2024 11:15:52 am,0.550,0.38,-0.0196,-0.044,-0.1,0.0445,01/09/2024 11:20:42 am,0.550,1.54,-0.0289,-0.052,0.1,0.0517
01/09/2024 11:12:56 am,0.575,0.13,-0.0093,-0.030,0.0,0.0299,01/09/2024 11:14:59 am,0.575,0.58,-0.0189,-0.042,-0.1,0.0420,01/09/2024 11:15:52 am,0.575,0.40,-0.0207,-0.047,-0.1,0.0469,01/09/2024 11:20:42 am,0.575,1.60,-0.0302,-0.045,0.1,0.0453
